Rank,Series,Product Division,Business Unit,Date,Actual Sell-In,Biz Forecast Value,ML Forecast Value,ML Forecast Upper Bound,ecom_model,Model,Biz Rolling Accuracy,ML Rolling Accuracy,Rolling ML-Biz,12M Weighted Avg Biz Rolling Accuracy,12M Weighted Avg ML Rolling Accuracy,12M Weighted Avg Rolling ML-Biz,6M Weighted Avg Biz Rolling Accuracy,6M Weighted Avg ML Rolling Accuracy,6M Weighted Avg Rolling ML-Biz,12M Simple Avg Biz Rolling Accuracy,12M Simple Avg ML Rolling Accuracy,Biz Accuracy,ML Accuracy,ML-Biz,12M Weighted Avg Biz Accuracy,12M Weighted Avg ML Accuracy,12M Simple Avg Biz Accuracy,12M Simple Avg ML Accuracy,ECOM Rolling Accuracy,Rolling ECOM-Biz,12M Weighted Avg ECOM Rolling Accuracy,6M Weighted Avg ECOM Rolling Accuracy,12M Simple Avg ECOM Rolling Accuracy,ECOM Accuracy,ECOM-Biz,12M Weighted Avg ECOM Accuracy,12M Simple Avg ECOM Accuracy,Biz Forecast Count,ML Forecast Count,ECOM Forecast Count,Biz High Accuracy >= 0.5,ML High Accuracy >= 0.5,ECOM High Accuracy >= 0.5,ML_win_tie,ML_win_no_tie,ML_rolling_win_tie,ML_rolling_win_no_tie,ECOM_win_tie,ECOM_win_no_tie,ECOM_rolling_win_tie,ECOM_rolling_win_no_tie,12M Total Actual Sell-In,total_Biz_diff,total_ML_diff,total_ECOM_diff,Biz_diff,ML_diff,ECOM_diff,Actual rolling sum,Biz rolling sum,ML rolling sum,ECOM rolling sum,Month_to_Month_Confidence,Rolling_Confidence,Weighted_Avg_Confidence,ECOM_Confidence,Previous_Confidence,Final_Confidence
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,2023-10-31,1492.0,2915.0,2032.0,2032.0,2032.0,ECOM,0.0,0.0,0.0,0.5033812668574116,0.503733799349286,0.00035253249187439106,0.5413567443432159,0.5028167525452754,-0.03853999179794054,0.5027763920701014,0.5050003244187921,0.04624664879356566,0.6380697050938338,0.5918230563002681,0.4923000439869564,0.4685946562820276,0.4599837156025585,0.484212050942616,0.0,0.0,0.503733799349286,0.5028167525452754,0.5050003244187921,0.6380697050938338,0.5918230563002681,0.4685946562820276,0.484212050942616,24,24,24,6,7,7,6,6,7,7,6,6,7,7,61992.0,26493.0,7610.0,7610.0,,,,,,,,Medium,Medium,High,High,High,High
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,2023-11-30,5084.0,3789.0,1340.0,1340.0,1340.0,ECOM,0.0,0.0,0.0,0.5033812668574116,0.503733799349286,0.00035253249187439106,0.5413567443432159,0.5028167525452754,-0.03853999179794054,0.5027763920701014,0.5050003244187921,0.7452793076317861,0.26357199055861524,-0.4817073170731708,0.4923000439869564,0.4685946562820276,0.4599837156025585,0.484212050942616,0.0,0.0,0.503733799349286,0.5028167525452754,0.5050003244187921,0.26357199055861524,-0.4817073170731708,0.4685946562820276,0.484212050942616,24,24,24,6,7,7,6,6,7,7,6,6,7,7,61992.0,26493.0,7610.0,7610.0,,,,,,,,Medium,Medium,High,High,High,High
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,2023-12-31,4063.0,3310.0,1684.0,1684.0,1684.0,ECOM,0.9412538772441019,0.4752326346461133,-0.4660212425979886,0.5033812668574116,0.503733799349286,0.00035253249187439106,0.5413567443432159,0.5028167525452754,-0.03853999179794054,0.5027763920701014,0.5050003244187921,0.8146689638198376,0.41447206497661826,-0.4001968988432193,0.4923000439869564,0.4685946562820276,0.4599837156025585,0.484212050942616,0.4752326346461133,-0.4660212425979886,0.503733799349286,0.5028167525452754,0.5050003244187921,0.41447206497661826,-0.4001968988432193,0.4685946562820276,0.484212050942616,24,24,24,6,7,7,6,6,7,7,6,6,7,7,61992.0,26493.0,7610.0,7610.0,,,,10639.0,10014.0,5056.0,5056.0,Medium,Medium,High,High,High,High
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,2024-01-31,560.0,904.0,1235.0,1235.0,1235.0,ECOM,0.8244565777274132,0.4387555372411661,-0.3857010404862471,0.5033812668574116,0.503733799349286,0.00035253249187439106,0.5413567443432159,0.5028167525452754,-0.03853999179794054,0.5027763920701014,0.5050003244187921,0.3857142857142857,0.0,-0.3857142857142857,0.4923000439869564,0.4685946562820276,0.4599837156025585,0.484212050942616,0.4387555372411661,-0.3857010404862471,0.503733799349286,0.5028167525452754,0.5050003244187921,0.0,-0.3857142857142857,0.4685946562820276,0.484212050942616,24,24,24,6,7,7,6,6,7,7,6,6,7,7,61992.0,26493.0,7610.0,7610.0,,,,9707.0,8003.0,4259.0,4259.0,Medium,Medium,High,High,High,High
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,2024-02-29,944.0,1229.0,948.0,948.0,948.0,ECOM,0.9777258846775643,0.6946290641278965,-0.2830968205496678,0.5033812668574116,0.503733799349286,0.00035253249187439106,0.5413567443432159,0.5028167525452754,-0.03853999179794054,0.5027763920701014,0.5050003244187921,0.6980932203389831,0.9957627118644068,0.29766949152542366,0.4923000439869564,0.4685946562820276,0.4599837156025585,0.484212050942616,0.6946290641278965,-0.2830968205496678,0.503733799349286,0.5028167525452754,0.5050003244187921,0.9957627118644068,0.29766949152542366,0.4685946562820276,0.484212050942616,24,24,24,6,7,7,6,6,7,7,6,6,7,7,61992.0,26493.0,7610.0,7610.0,,,,5567.0,5443.0,3867.0,3867.0,Medium,Medium,High,High,High,High
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,2024-03-31,1386.0,1255.0,2077.0,2077.0,2077.0,ECOM,0.827681660899654,0.5259515570934257,-0.30173010380622833,0.5033812668574116,0.503733799349286,0.00035253249187439106,0.5413567443432159,0.5028167525452754,-0.03853999179794054,0.5027763920701014,0.5050003244187921,0.9054834054834054,0.5014430014430015,-0.404040404040404,0.4923000439869564,0.4685946562820276,0.4599837156025585,0.484212050942616,0.5259515570934257,-0.30173010380622833,0.503733799349286,0.5028167525452754,0.5050003244187921,0.5014430014430015,-0.404040404040404,0.4685946562820276,0.484212050942616,24,24,24,6,7,7,6,6,7,7,6,6,7,7,61992.0,26493.0,7610.0,7610.0,,,,2890.0,3388.0,4260.0,4260.0,Medium,Medium,High,High,High,High
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,2024-04-30,874.0,1465.0,1955.0,1955.0,1955.0,ECOM,0.767478152309613,0.44569288389513106,-0.32178526841448196,0.5033812668574116,0.503733799349286,0.00035253249187439106,0.5413567443432159,0.5028167525452754,-0.03853999179794054,0.5027763920701014,0.5050003244187921,0.32379862700228834,0.0,-0.32379862700228834,0.4923000439869564,0.4685946562820276,0.4599837156025585,0.484212050942616,0.44569288389513106,-0.32178526841448196,0.503733799349286,0.5028167525452754,0.5050003244187921,0.0,-0.32379862700228834,0.4685946562820276,0.484212050942616,24,24,24,6,7,7,6,6,7,7,6,6,7,7,61992.0,26493.0,7610.0,7610.0,,,,3204.0,3949.0,4980.0,4980.0,Medium,Medium,High,High,High,High
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,2024-05-31,1455.0,1720.0,2001.0,2001.0,2001.0,ECOM,0.8048452220726783,0.37604306864064607,-0.4288021534320322,0.5033812668574116,0.503733799349286,0.00035253249187439106,0.5413567443432159,0.5028167525452754,-0.03853999179794054,0.5027763920701014,0.5050003244187921,0.8178694158075601,0.6247422680412371,-0.193127147766323,0.4923000439869564,0.4685946562820276,0.4599837156025585,0.484212050942616,0.37604306864064607,-0.4288021534320322,0.503733799349286,0.5028167525452754,0.5050003244187921,0.6247422680412371,-0.193127147766323,0.4685946562820276,0.484212050942616,24,24,24,6,7,7,6,6,7,7,6,6,7,7,61992.0,26493.0,7610.0,7610.0,,,,3715.0,4440.0,6033.0,6033.0,Medium,Medium,High,High,High,High
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,2024-06-30,2075.0,1610.0,2416.0,2416.0,2416.0,ECOM,0.9112170753860127,0.5531335149863761,-0.3580835603996366,0.5033812668574116,0.503733799349286,0.00035253249187439106,0.5413567443432159,0.5028167525452754,-0.03853999179794054,0.5027763920701014,0.5050003244187921,0.7759036144578313,0.8356626506024096,0.05975903614457834,0.4923000439869564,0.4685946562820276,0.4599837156025585,0.484212050942616,0.5531335149863761,-0.3580835603996366,0.503733799349286,0.5028167525452754,0.5050003244187921,0.8356626506024096,0.05975903614457834,0.4685946562820276,0.484212050942616,24,24,24,6,7,7,6,6,7,7,6,6,7,7,61992.0,26493.0,7610.0,7610.0,,,,4404.0,4795.0,6372.0,6372.0,Medium,Medium,High,High,High,High
1.0,PartyBox,JBL Smart Audio,PORTABLE AUDIO,2024-07-31,2582.0,1710.0,2156.0,2156.0,2156.0,ECOM,0.824607329842932,0.924574607329843,0.09996727748691103,0.5033812668574116,0.503733799349286,0.00035253249187439106,0.5413567443432159,0.5028167525452754,-0.03853999179794054,0.5027763920701014,0.5050003244187921,0.662277304415182,0.8350116189000775,0.1727343144848955,0.4923000439869564,0.4685946562820276,0.4599837156025585,0.484212050942616,0.924574607329843,0.09996727748691103,0.503733799349286,0.5028167525452754,0.5050003244187921,0.8350116189000775,0.1727343144848955,0.4685946562820276,0.484212050942616,24,24,24,6,7,7,6,6,7,7,6,6,7,7,61992.0,26493.0,7610.0,7610.0,,,,6112.0,5040.0,6573.0,6573.0,Medium,Medium,High,High,High,High
